Value,Count,World_Lan1,World_Mois,World_Temp,World_Lan2,LF_ClassNa,LC_ClassNa,Temp_Class,Moisture_C,Temp_Moist,W_Ecosystm
"152",3538568.00000000000,"3","2","2","6",Tablelands,Sparsley or Non vegetated,Cool Temperate,Dry,Cool Temperate Dry,Cool Temperate Dry Sparsley or Non vegetated on Tablelands
"153",24249365.00000000000,"4","2","2","4",Plains,Grassland,Cool Temperate,Dry,Cool Temperate Dry,Cool Temperate Dry Grassland on Plains
"154",267064.00000000000,"2","2","2","5",Hills,Settlement,Cool Temperate,Dry,Cool Temperate Dry,Cool Temperate Dry Settlement on Hills
"155",42802.00000000000,"3","2","2","5",Tablelands,Settlement,Cool Temperate,Dry,Cool Temperate Dry,Cool Temperate Dry Settlement on Tablelands
"156",3703941.00000000000,"3","2","2","4",Tablelands,Grassland,Cool Temperate,Dry,Cool Temperate Dry,Cool Temperate Dry Grassland on Tablelands
"157",500994.00000000000,"4","2","2","5",Plains,Settlement,Cool Temperate,Dry,Cool Temperate Dry,Cool Temperate Dry Settlement on Plains
"158",199780.00000000000,"1","2","2","5",Mountains,Settlement,Cool Temperate,Dry,Cool Temperate Dry,Cool Temperate Dry Settlement on Mountains
"159",5893517.00000000000,"4","3","3","4",Plains,Grassland,Warm Temperate,Moist,Warm Temperate Moist,Warm Temperate Moist Grassland on Plains
"160",21057735.00000000000,"4","3","3","1",Plains,Cropland,Warm Temperate,Moist,Warm Temperate Moist,Warm Temperate Moist Cropland on Plains
"161",1582898.00000000000,"4","3","3","5",Plains,Settlement,Warm Temperate,Moist,Warm Temperate Moist,Warm Temperate Moist Settlement on Plains
"162",63747.00000000000,"4","3","3","6",Plains,Sparsley or Non vegetated,Warm Temperate,Moist,Warm Temperate Moist,Warm Temperate Moist Sparsley or Non vegetated on Plains
"163",7051184.00000000000,"2","3","3","3",Hills,Forest,Warm Temperate,Moist,Warm Temperate Moist,Warm Temperate Moist Forest on Hills
"164",4492674.00000000000,"2","3","3","4",Hills,Grassland,Warm Temperate,Moist,Warm Temperate Moist,Warm Temperate Moist Grassland on Hills
"165",376639.00000000000,"2","3","3","2",Hills,Shrubland,Warm Temperate,Moist,Warm Temperate Moist,Warm Temperate Moist Shrubland on Hills
"166",7628034.00000000000,"4","3","3","3",Plains,Forest,Warm Temperate,Moist,Warm Temperate Moist,Warm Temperate Moist Forest on Plains
"167",1041618.00000000000,"4","3","3","2",Plains,Shrubland,Warm Temperate,Moist,Warm Temperate Moist,Warm Temperate Moist Shrubland on Plains
"168",7980992.00000000000,"2","3","3","1",Hills,Cropland,Warm Temperate,Moist,Warm Temperate Moist,Warm Temperate Moist Cropland on Hills
"169",826951.00000000000,"2","3","3","5",Hills,Settlement,Warm Temperate,Moist,Warm Temperate Moist,Warm Temperate Moist Settlement on Hills
"170",37621.00000000000,"2","3","3","6",Hills,Sparsley or Non vegetated,Warm Temperate,Moist,Warm Temperate Moist,Warm Temperate Moist Sparsley or Non vegetated on Hills
"171",3469322.00000000000,"1","3","3","4",Mountains,Grassland,Warm Temperate,Moist,Warm Temperate Moist,Warm Temperate Moist Grassland on Mountains
"172",854167.00000000000,"1","3","3","5",Mountains,Settlement,Warm Temperate,Moist,Warm Temperate Moist,Warm Temperate Moist Settlement on Mountains
"173",22792265.00000000000,"1","3","3","1",Mountains,Cropland,Warm Temperate,Moist,Warm Temperate Moist,Warm Temperate Moist Cropland on Mountains
"174",229591.00000000000,"1","3","3","6",Mountains,Sparsley or Non vegetated,Warm Temperate,Moist,Warm Temperate Moist,Warm Temperate Moist Sparsley or Non vegetated on Mountains
"175",2929062.00000000000,"1","3","3","2",Mountains,Shrubland,Warm Temperate,Moist,Warm Temperate Moist,Warm Temperate Moist Shrubland on Mountains
"176",42091216.00000000000,"1","3","3","3",Mountains,Forest,Warm Temperate,Moist,Warm Temperate Moist,Warm Temperate Moist Forest on Mountains
"177",130958.00000000000,"3","3","3","5",Tablelands,Settlement,Warm Temperate,Moist,Warm Temperate Moist,Warm Temperate Moist Settlement on Tablelands
"178",2984994.00000000000,"3","3","3","1",Tablelands,Cropland,Warm Temperate,Moist,Warm Temperate Moist,Warm Temperate Moist Cropland on Tablelands
"179",1409429.00000000000,"3","3","3","4",Tablelands,Grassland,Warm Temperate,Moist,Warm Temperate Moist,Warm Temperate Moist Grassland on Tablelands
"180",3959557.00000000000,"3","3","3","3",Tablelands,Forest,Warm Temperate,Moist,Warm Temperate Moist,Warm Temperate Moist Forest on Tablelands
"181",361680.00000000000,"3","3","3","2",Tablelands,Shrubland,Warm Temperate,Moist,Warm Temperate Moist,Warm Temperate Moist Shrubland on Tablelands
"182",13550.00000000000,"3","3","3","6",Tablelands,Sparsley or Non vegetated,Warm Temperate,Moist,Warm Temperate Moist,Warm Temperate Moist Sparsley or Non vegetated on Tablelands
"183",19913122.00000000000,"1","2","3","2",Mountains,Shrubland,Warm Temperate,Dry,Warm Temperate Dry,Warm Temperate Dry Shrubland on Mountains
"184",19952648.00000000000,"1","2","3","1",Mountains,Cropland,Warm Temperate,Dry,Warm Temperate Dry,Warm Temperate Dry Cropland on Mountains
"185",711729.00000000000,"1","2","3","5",Mountains,Settlement,Warm Temperate,Dry,Warm Temperate Dry,Warm Temperate Dry Settlement on Mountains
"186",9027272.00000000000,"1","2","3","4",Mountains,Grassland,Warm Temperate,Dry,Warm Temperate Dry,Warm Temperate Dry Grassland on Mountains
"187",29158697.00000000000,"4","2","3","1",Plains,Cropland,Warm Temperate,Dry,Warm Temperate Dry,Warm Temperate Dry Cropland on Plains
"188",1154501.00000000000,"4","2","3","5",Plains,Settlement,Warm Temperate,Dry,Warm Temperate Dry,Warm Temperate Dry Settlement on Plains
"189",5831214.00000000000,"4","2","3","4",Plains,Grassland,Warm Temperate,Dry,Warm Temperate Dry,Warm Temperate Dry Grassland on Plains
"190",10641773.00000000000,"2","2","3","1",Hills,Cropland,Warm Temperate,Dry,Warm Temperate Dry,Warm Temperate Dry Cropland on Hills
"191",359892.00000000000,"2","2","3","5",Hills,Settlement,Warm Temperate,Dry,Warm Temperate Dry,Warm Temperate Dry Settlement on Hills
"192",5104101.00000000000,"2","2","3","4",Hills,Grassland,Warm Temperate,Dry,Warm Temperate Dry,Warm Temperate Dry Grassland on Hills
"193",9291713.00000000000,"2","2","3","2",Hills,Shrubland,Warm Temperate,Dry,Warm Temperate Dry,Warm Temperate Dry Shrubland on Hills
"194",10546122.00000000000,"1","2","3","3",Mountains,Forest,Warm Temperate,Dry,Warm Temperate Dry,Warm Temperate Dry Forest on Mountains
